"N.Registro";"Tipo";"Categoría";"Especialidades";"Nombre";"Dirección";"C.Postal";"Provincia";"Municipio";"Localidad";"Nucleo";"Teléfono 1";"Teléfono 2";"Teléfono 3";"Email";"web";"Q Calidad";"Central Reservas";"Plazas";"GPS.Longitud";"GPS.Latitud";"accesible a personas con discapacidad";
"05/000003";"Hostal";"2ª - 2 Estrellas";"";"EL RASTRO";"Plaza PLAZA DEL RASTRO, 1";"05001";"Ávila";"Ávila";"AVILA";"AVILA";"920211218";"920211219";"";"info@elrastroavila.com";"";"";"";"16";"-4,70118";"40,654666";"Si";
"05/000004";"Hotel";"2ª - 2 Estrellas";"";"LAS CANCELAS";"CRUZ VIEJA, 6";"05001";"Ávila";"Ávila";"AVILA";"AVILA";"920212249";"920212250";"";"reservas@lascancelas.com";"www.lascancelas.com";"";"";"26";"";"";"";
"05/000007";"Pensión";"Categoría única";"";"EL SEGOVIANO";"PLAZA CONSTITUCION, 10";"05110";"Ávila";"Barraco (El)";"BARRACO (EL)";"BARRACO (EL)";"920281008";"";"";"";"";"";"";"3";"-4,6425475";"40,4769634";"";
"05/000008";"Hotel";"2ª - 2 Estrellas";"";"MIRADOR DEL TIETAR";"Calle RISQUILLO, 22";"05460";"Ávila";"Gavilanes";"GAVILANES";"GAVILANES";"920384867";"";"";"hotel@miradordeltietar.com";"www.miradordeltietar.com";"";"";"100";"-4,85015";"40,279";"";
"05/000011";"Hostal";"1ª - 1 Estrella";"";"LA PARRA";"PZA. MAYOR, 10";"05240";"Ávila";"Navalperal de Pinares";"NAVALPERAL DE PINARES";"NAVALPERAL DE PINARES";"918980015";"";"";"";"";"";"";"11";"";"";"";
"05/000013";"Hostal";"2ª - 2 Estrellas";"";"ALMANZOR";"Calle CTRA. BARCO, KM. 11";"05635";"Ávila";"Navarredonda de Gredos";"NAVARREDONDA DE GREDOS";"NAVARREDONDA DE GREDOS";"920348010";"689084021";"";"info@hostalalmanzor.com";"";"";"";"54";"-5,126924";"40,357774";"";
"05/000014";"Hostal";"1ª - 1 Estrella";"";"EL CERRO";"AVENIDA ARTURO DUPERIER, 55";"05470";"Ávila";"Pedro Bernardo";"PEDRO BERNARDO";"PEDRO BERNARDO";"920389103";"607733360";"";"chemago55@hotmail.com";"www.hostalelcerro.com";"";"";"16";"";"";"";
"05/000015";"Hotel";"2ª - 2 Estrellas";"";"ALMANZOR (Cierre Temporal)";"PROGRESO, 2";"05440";"Ávila";"Piedralaves";"PIEDRALAVES";"PIEDRALAVES";"918665000";"";"";"info@hotelalmanzor.net";"www.hotelalmanzor.net";"";"";"119";"";"";"";
"05/000017";"Pensión";"Categoría única";"";"LA CARRETERA";"Calle NICOLAS MAQUEDA 35";"05492";"Ávila";"Poyales del Hoyo";"POYALES DEL HOYO";"POYALES DEL HOYO";"920390007";"";"";"";"";"";"";"14";"";"";"";
"05/000018";"Hostal";"1ª - 1 Estrella";"";"VENTA RASQUILLA";"Carretera CTRA. AVILA-ARENAS DE SAN PEDRO";"05132";"Ávila";"San Martín del Pimpollar";"SAN MARTIN DEL PIMPOLLAR";"SAN MARTIN DEL PIMPOLLAR";"920207571";"920207583";"";"";"";"";"";"10";"-5,017663";"40,373498";"";
