"Datos de: SERIE=TURISMO - DEMANDA TURÍSTICA - TOTAL ESTABLECIMIENTOS TURÍSTICOS - TOTAL VIAJEROS, TURISMO - DEMANDA TURÍSTICA - TOTAL ESTABLECIMIENTOS TURÍSTICOS - TOTAL PERNOCTACIONES, TURISMO - DEMANDA TURÍSTICA - TOTAL ESTABLECIMIENTOS TURÍSTICOS - GRADO DE OCUPACIÓN, TURISMO - DEMANDA TURÍSTICA - TOTAL ESTABLECIMIENTOS TURÍSTICOS - ESTANCIA MEDIA, TURISMO - OFERTA TURÍSTICA - TOTAL ESTABLECIMIENTOS TURÍSTICOS - ESTABLECIMIENTOS, TURISMO - OFERTA TURÍSTICA - TOTAL ESTABLECIMIENTOS TURÍSTICOS - PLAZAS"
"COMUNIDAD AUTONOMA","CASTILLA Y LEON",,,,,,
"SERIE","TURISMO - DEMANDA TURÍSTICA - TOTAL ESTABLECIMIENTOS TURÍSTICOS - TOTAL VIAJEROS","TURISMO - DEMANDA TURÍSTICA - TOTAL ESTABLECIMIENTOS TURÍSTICOS - TOTAL PERNOCTACIONES","TURISMO - DEMANDA TURÍSTICA - TOTAL ESTABLECIMIENTOS TURÍSTICOS - GRADO DE OCUPACIÓN","TURISMO - DEMANDA TURÍSTICA - TOTAL ESTABLECIMIENTOS TURÍSTICOS - ESTANCIA MEDIA","TURISMO - OFERTA TURÍSTICA - TOTAL ESTABLECIMIENTOS TURÍSTICOS - ESTABLECIMIENTOS","TURISMO - OFERTA TURÍSTICA - TOTAL ESTABLECIMIENTOS TURÍSTICOS - PLAZAS",
,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,
MES,Sum,Sum,Sum,Sum,Sum,Sum,
"09-1994",      224709,      352193,       42.67,        1.57,        1460,       49557,
"10-1994",      180983,      301218,       35.69,        1.66,        1458,       49556,
"11-1994",      125980,      202597,       25.67,        1.61,        1457,       49634,
"12-1994",      119809,      184174,       22.88,        1.54,        1457,       47914,
"01-1995",       97033,      147536,       18.64,        1.54,        1497,       43829,
"02-1995",      102573,      161215,       23.25,        1.58,        1507,       43935,
"03-1995",      148210,      252403,        27.8,        1.57,        1597,       74423,
"04-1995",      203521,      332595,       41.11,        1.65,        1520,       44416,
"05-1995",      182871,      303721,        31.8,        1.51,        1523,       44383,
"06-1995",      185117,      303442,       33.47,        1.55,        1536,       44597,
"07-1995",      230669,      366485,       42.58,        1.62,        1539,       44717,
"08-1995",      296620,      296860,        55.3,        1.68,        1559,       44975,
"09-1995",      233487,      365584,       43.43,        1.56,        1563,       45159,
"10-1995",      323726,      197700,       37.59,        1.61,        1567,       45195,
"11-1995",      141845,      236304,       29.06,        1.63,        1571,       45221,
"12-1995",      126887,      193234,       23.65,        1.52,        1579,       45324,
"01-1996",       99838,      153985,        19.2,        1.59,        1587,       45612,
"02-1996",      113964,      178716,       23.14,        1.57,        1681,       77831,
"03-1996",      159475,      252874,       29.58,        1.52,        1693,       78557,
"04-1996",      210140,      330911,       39.47,        1.57,        1701,       78798,
"05-1996",      203681,      323001,       34.75,        1.56,        1707,       78361,
"06-1996",      190848,      306182,       33.88,        1.57,        1751,       79908,
