Comunidades autónomas;Tipo de dato;Periodo;Total
Total;Dato base;2022;71.659.281
Total;Dato base;2021;31.180.802
Total;Dato base;2020;18.933.103
Total;Dato base;2019;83.509.153
Total;Dato base;2018;82.808.413
Total;Dato base;2017;81.868.522
Total;Dato base;2016;75.315.008
Total;Tasa de variación anual;2022;129,82
Total;Tasa de variación anual;2021;64,69
Total;Tasa de variación anual;2020;-77,33
Total;Tasa de variación anual;2019;0,85
Total;Tasa de variación anual;2018;1,15
Total;Tasa de variación anual;2017;8,7
Total;Tasa de variación anual;2016;10,46
01 Andalucía;Dato base;2022;10.009.890
01 Andalucía;Dato base;2021;4.248.340
01 Andalucía;Dato base;2020;2.700.613
01 Andalucía;Dato base;2019;12.023.153
01 Andalucía;Dato base;2018;11.681.256
01 Andalucía;Dato base;2017;11.518.262
01 Andalucía;Dato base;2016;10.589.642
01 Andalucía;Tasa de variación anual;2022;135,62
01 Andalucía;Tasa de variación anual;2021;57,31
01 Andalucía;Tasa de variación anual;2020;-77,54
01 Andalucía;Tasa de variación anual;2019;2,93
01 Andalucía;Tasa de variación anual;2018;1,42
01 Andalucía;Tasa de variación anual;2017;8,77
01 Andalucía;Tasa de variación anual;2016;13,41
02 Aragón;Dato base;2022;385.175
02 Aragón;Dato base;2021;215.884
02 Aragón;Dato base;2020;172.084
02 Aragón;Dato base;2019;544.761
02 Aragón;Dato base;2018;545.530
02 Aragón;Dato base;2017;562.352
02 Aragón;Dato base;2016;644.516
02 Aragón;Tasa de variación anual;2022;78,42
02 Aragón;Tasa de variación anual;2021;25,45
02 Aragón;Tasa de variación anual;2020;-68,41
02 Aragón;Tasa de variación anual;2019;-0,14
02 Aragón;Tasa de variación anual;2018;-2,99
02 Aragón;Tasa de variación anual;2017;-12,75
02 Aragón;Tasa de variación anual;2016;53,06
03 Asturias, Principado de;Dato base;2022;277.267
03 Asturias, Principado de;Dato base;2021;161.462
03 Asturias, Principado de;Dato base;2020;92.222
03 Asturias, Principado de;Dato base;2019;317.860
03 Asturias, Principado de;Dato base;2018;299.357
03 Asturias, Principado de;Dato base;2017;294.129
03 Asturias, Principado de;Dato base;2016;277.989
03 Asturias, Principado de;Tasa de variación anual;2022;71,72
03 Asturias, Principado de;Tasa de variación anual;2021;75,08
03 Asturias, Principado de;Tasa de variación anual;2020;-70,99
03 Asturias, Principado de;Tasa de variación anual;2019;6,18
03 Asturias, Principado de;Tasa de variación anual;2018;1,78
03 Asturias, Principado de;Tasa de variación anual;2017;5,81
03 Asturias, Principado de;Tasa de variación anual;2016;10,7
04 Balears, Illes;Dato base;2022;13.203.885
04 Balears, Illes;Dato base;2021;6.324.711
04 Balears, Illes;Dato base;2020;1.721.123
04 Balears, Illes;Dato base;2019;13.679.781
04 Balears, Illes;Dato base;2018;13.851.598
04 Balears, Illes;Dato base;2017;13.792.296
04 Balears, Illes;Dato base;2016;12.997.549
04 Balears, Illes;Tasa de variación anual;2022;108,77
04 Balears, Illes;Tasa de variación anual;2021;267,48
04 Balears, Illes;Tasa de variación anual;2020;-87,42
04 Balears, Illes;Tasa de variación anual;2019;-1,24
04 Balears, Illes;Tasa de variación anual;2018;0,43
04 Balears, Illes;Tasa de variación anual;2017;6,11
04 Balears, Illes;Tasa de variación anual;2016;11,49
05 Canarias;Dato base;2022;12.328.012
05 Canarias;Dato base;2021;5.258.729
05 Canarias;Dato base;2020;3.787.228
05 Canarias;Dato base;2019;13.146.863
05 Canarias;Dato base;2018;13.752.022
05 Canarias;Dato base;2017;14.214.222
05 Canarias;Dato base;2016;13.259.567
05 Canarias;Tasa de variación anual;2022;134,43
05 Canarias;Tasa de variación anual;2021;38,85
05 Canarias;Tasa de variación anual;2020;-71,19
05 Canarias;Tasa de variación anual;2019;-4,4
05 Canarias;Tasa de variación anual;2018;-3,25
05 Canarias;Tasa de variación anual;2017;7,2
05 Canarias;Tasa de variación anual;2016;13,49
06 Cantabria;Dato base;2022;323.694
06 Cantabria;Dato base;2021;159.960
06 Cantabria;Dato base;2020;106.392
06 Cantabria;Dato base;2019;392.516
06 Cantabria;Dato base;2018;381.181
06 Cantabria;Dato base;2017;414.489
06 Cantabria;Dato base;2016;378.435
06 Cantabria;Tasa de variación anual;2022;102,36
06 Cantabria;Tasa de variación anual;2021;50,35
06 Cantabria;Tasa de variación anual;2020;-72,89
06 Cantabria;Tasa de variación anual;2019;2,97
06 Cantabria;Tasa de variación anual;2018;-8,04
06 Cantabria;Tasa de variación anual;2017;9,53
06 Cantabria;Tasa de variación anual;2016;-8,71
07 Castilla y León;Dato base;2022;1.016.508
07 Castilla y León;Dato base;2021;499.370
07 Castilla y León;Dato base;2020;430.405
07 Castilla y León;Dato base;2019;1.286.198
07 Castilla y León;Dato base;2018;1.374.464
07 Castilla y León;Dato base;2017;1.458.546
07 Castilla y León;Dato base;2016;1.225.331
07 Castilla y León;Tasa de variación anual;2022;103,56
07 Castilla y León;Tasa de variación anual;2021;16,02
07 Castilla y León;Tasa de variación anual;2020;-66,54
07 Castilla y León;Tasa de variación anual;2019;-6,42
07 Castilla y León;Tasa de variación anual;2018;-5,76
07 Castilla y León;Tasa de variación anual;2017;19,03
07 Castilla y León;Tasa de variación anual;2016;18,37
08 Castilla - La Mancha;Dato base;2022;200.063
08 Castilla - La Mancha;Dato base;2021;98.134
08 Castilla - La Mancha;Dato base;2020;95.887
08 Castilla - La Mancha;Dato base;2019;262.044
08 Castilla - La Mancha;Dato base;2018;235.011
08 Castilla - La Mancha;Dato base;2017;226.221
08 Castilla - La Mancha;Dato base;2016;222.651
08 Castilla - La Mancha;Tasa de variación anual;2022;103,87
08 Castilla - La Mancha;Tasa de variación anual;2021;2,34
08 Castilla - La Mancha;Tasa de variación anual;2020;-63,41
08 Castilla - La Mancha;Tasa de variación anual;2019;11,5
08 Castilla - La Mancha;Tasa de variación anual;2018;3,89
08 Castilla - La Mancha;Tasa de variación anual;2017;1,6
08 Castilla - La Mancha;Tasa de variación anual;2016;3,93
09 Cataluña;Dato base;2022;14.852.042
09 Cataluña;Dato base;2021;5.787.837
09 Cataluña;Dato base;2020;3.870.259
09 Cataluña;Dato base;2019;19.375.152
09 Cataluña;Dato base;2018;19.196.344
09 Cataluña;Dato base;2017;19.118.421
09 Cataluña;Dato base;2016;18.139.177
09 Cataluña;Tasa de variación anual;2022;156,61
09 Cataluña;Tasa de variación anual;2021;49,55
09 Cataluña;Tasa de variación anual;2020;-80,02
09 Cataluña;Tasa de variación anual;2019;0,93
09 Cataluña;Tasa de variación anual;2018;0,41
09 Cataluña;Tasa de variación anual;2017;5,4
09 Cataluña;Tasa de variación anual;2016;4,37
10 Comunitat Valenciana;Dato base;2022;8.616.445
10 Comunitat Valenciana;Dato base;2021;4.019.766
10 Comunitat Valenciana;Dato base;2020;2.542.758
10 Comunitat Valenciana;Dato base;2019;9.535.496
10 Comunitat Valenciana;Dato base;2018;9.206.908
10 Comunitat Valenciana;Dato base;2017;8.925.959
10 Comunitat Valenciana;Dato base;2016;7.731.770
10 Comunitat Valenciana;Tasa de variación anual;2022;114,35
10 Comunitat Valenciana;Tasa de variación anual;2021;58,09
10 Comunitat Valenciana;Tasa de variación anual;2020;-73,33
10 Comunitat Valenciana;Tasa de variación anual;2019;3,57
10 Comunitat Valenciana;Tasa de variación anual;2018;3,15
10 Comunitat Valenciana;Tasa de variación anual;2017;15,45
10 Comunitat Valenciana;Tasa de variación anual;2016;17,63
11 Extremadura;Dato base;2022;319.504
11 Extremadura;Dato base;2021;218.790
11 Extremadura;Dato base;2020;156.169
11 Extremadura;Dato base;2019;469.398
11 Extremadura;Dato base;2018;468.286
11 Extremadura;Dato base;2017;380.914
11 Extremadura;Dato base;2016;261.453
11 Extremadura;Tasa de variación anual;2022;46,03
11 Extremadura;Tasa de variación anual;2021;40,1
11 Extremadura;Tasa de variación anual;2020;-66,73
11 Extremadura;Tasa de variación anual;2019;0,24
11 Extremadura;Tasa de variación anual;2018;22,94
11 Extremadura;Tasa de variación anual;2017;45,69
11 Extremadura;Tasa de variación anual;2016;32,47
12 Galicia;Dato base;2022;1.271.894
12 Galicia;Dato base;2021;772.452
12 Galicia;Dato base;2020;540.004
12 Galicia;Dato base;2019;1.624.711
12 Galicia;Dato base;2018;1.512.511
12 Galicia;Dato base;2017;1.291.086
12 Galicia;Dato base;2016;1.035.147
